#{"t_start": 1635085209.065227, "env_id": null}
r,l,t,is_success
-3.606887,19,3877.767419,1
-5.882123,24,3880.75996,1
-3.173197,13,3882.187212,1
-9.770288,22,3884.74603,1
-2.519996,13,3886.179679,1
-8.228895,34,3889.967618,1
-5.98858,18,3892.098963,1
-7.905398,23,3894.835343,1
-12.503555,44,3899.633926,1
-3.9072,20,3901.827625,1
-6.26089,27,3904.960655,1
-8.026515,27,3908.175642,1
-7.564565,21,3910.810182,1
-5.878212,20,3913.115233,1
-15.218524,50,3918.543527,1
-12.079626,37,3922.862091,1
-7.31558,28,3925.995542,1
-5.143379,22,3928.478579,1
-8.084855,28,3931.612473,1
-4.148355,19,3933.757343,1
-11.943292,38,3938.069091,1
-4.91069,17,3940.199743,1
-3.893884,17,3942.116619,1
-3.672896,16,3944.017662,1
-2.883474,13,3945.630313,1
-10.208175,32,3949.140354,1
-6.356059,25,3952.262465,1
-9.748634,32,3955.829275,1
-4.256566,20,3958.112631,1
-7.29301,28,3961.294174,1
-4.421198,17,3963.144716,1
-7.698286,29,3966.658778,1
-5.243525,18,3968.958503,1
-9.501252,33,3972.607575,1
-10.611981,27,3975.503073,1
-5.160482,16,3977.241976,1
-3.348989,15,3979.187855,1
-2.230783,12,3980.552652,1
-4.977953,20,3982.711974,1
-3.883208,15,3984.335545,1
-10.195735,50,3990.022842,1
-19.045402,100,4000.917014,0
-6.711822,25,4003.741185,1
-10.139375,33,4007.963944,1
-9.008236,31,4011.562387,1
-3.066654,16,4013.304902,1
-5.106314,16,4015.097518,1
-9.226295,24,4017.897193,1
-7.233582,27,4021.127105,1
-13.348455,42,4026.058834,1
-9.853687,17,4028.49509,0
-6.481606,24,4031.504725,1
-2.882062,17,4033.754985,1
-7.246473,19,4036.209678,1
-7.240924,20,4038.970118,1
-6.891469,20,4041.715291,1
-8.97315,33,4045.897273,1
-4.297099,21,4048.630647,1
-8.416466,27,4052.020065,1
-3.612643,14,4054.083255,1
-4.12843,16,4056.130999,1
-4.127457,17,4058.472464,1
-7.65123,21,4061.078739,1
-16.709237,100,4073.893152,0
-5.154352,19,4076.410472,1
-5.041786,15,4078.354307,1
-2.362264,12,4079.889487,1
-2.581161,10,4081.157419,1
-7.135054,20,4083.801658,1
-9.501817,21,4086.534197,1
-8.142936,26,4089.819756,1
-8.743098,29,4093.466417,1
-10.411687,38,4098.173538,1
-7.932817,21,4100.841846,1
-7.511549,27,4104.344533,1
-2.076377,12,4105.90862,1
-9.610148,24,4109.227049,1
-11.607381,40,4114.177422,1
-9.158971,33,4118.413605,1
-5.859297,17,4120.535793,1
-6.260721,26,4123.885917,1
-5.79021,21,4126.569445,1
-10.884965,27,4130.153269,1
-8.890505,23,4133.170514,1
-9.213304,31,4136.989443,1
-6.20747,20,4139.620565,1
-7.406325,28,4142.910815,1
-5.770837,17,4144.984208,1
-4.230596,20,4147.522095,1
-5.342745,17,4149.631218,1
-8.638144,30,4153.248209,1
-6.398019,19,4155.524943,1
-4.919268,16,4157.429607,1
-10.585827,16,4159.342465,0
-13.300226,41,4163.994751,1
-11.122448,64,4172.103565,1
-7.047012,19,4175.117891,1
-6.862932,21,4177.796664,1
-6.785858,25,4181.010552,1
-9.823911,22,4183.727136,1
-8.821082,31,4187.590598,1
-12.280149,46,4193.679975,1
